address,exchange
0x0B4D65DA21e71C873401a25D2A0b2ACDFDedadC7,archly_v2
0x24fAB125Eb14b7e288C1D8f74D368bc33e126D4B,archly_v2
0x526de6Ab61339Cb7B19520B3E2882E3aa3f28b03,archly_v2
0x5796F4CBC3124DCBcE43e296D45B25E0e3C25B59,archly_v2
0x62D076fAFa1091F667582935Eedc2d063F40Bf53,archly_v2
0x7337D2Fa74e9ad69CC7a584A458131b48034FeBd,archly_v2
0x743faFdef7c3f70Fd5CbA3F45a13BD7E55E41E9e,archly_v2
0x749E3304fee2aa3eD5B57e0099F371E68AE00a22,archly_v2
0x7D7256bcF9b79463D2709FedfAa6e57838138808,archly_v2
0x7b201BCbc425E4A87f9dbB2CC59e0246Af17cdde,archly_v2
0x9F707A63efEe09A71cbe2edB173ef17938955Eca,archly_v2
0xAb334F5f553056afC9399410eC7dAC63ddc0f0C0,archly_v2
0xD800a78893c204F35D2C567a27F73852f7be2972,archly_v2
0xe7F2AED9670933eDdc71634aAC0A13a187D4fE8f,archly_v2
0xea057987Eb08BE9AE9eB36BA1981C1D99b7e996A,archly_v2
0xeaF72F36d5100e1Ed52F03C53D133e26046439E8,archly_v2
0xf086aE7b932aE228027f5A46212a6E0B19c477f4,archly_v2
