exchange_name,chain,fork,factory_address,router_address,fee,start_block,active
pancakeswap_v2,coinbase_base,uniswap_v2,0x02a84c1b3BBD7401a5f7fa98a384EBC70bB5749E,0x8cFe327CEc66d1C090Dd72bd0FF11d690C33a2Eb,0.0025,2910387,
pancakeswap_v3,coinbase_base,uniswap_v3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x1b81D678ffb9C0263b24A97847620C99d213eB14,NA,2912007,
scale_v2,coinbase_base,solidly_v2,0xEd8db60aCc29e14bC867a497D94ca6e3CeB5eC04,0x2F87Bf58D5A9b2eFadE55Cdbd46153a0902be6FA,0.0002,4332209,
smardex_v2,coinbase_base,uniswap_v2,0xdd4536dD9636564D891c919416880a3e250f975A,0x5C622Dcc96b6D96ac6c154f99CF081815094CBC9,TBD,2918553,
sushiswap_v2,coinbase_base,uniswap_v2,0x71524B4f93c58fcbF659783284E38825f0622859,0x6BDED42c6DA8FBf0d2bA55B2fa120C5e0c8D7891,0.003,2631214,
sushiswap_v3,coinbase_base,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0xFB7eF66a7e61224DD6FcD0D7d9C3be5C8B049b9f,NA,1759510,
swapbased_v2,coinbase_base,uniswap_v2,0x04C9f118d21e8B767D2e50C946f0cC9F6C367300,0xaaa3b1F1bd7BCc97fD1917c18ADE665C5D31F066,0.003,1972292,
uniswap_v2,coinbase_base,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.003,10000835,
uniswap_v3,coinbase_base,uniswap_v3,0x33128a8fC17869897dcE68Ed026d694621f6FDfD,0x2626664c2603336E57B271c5C0b26F421741e481,NA,1371680,
velocimeter_v2,coinbase_base,solidly_v2,0xe21Aac7F113Bd5DC2389e4d8a8db854a87fD6951,0xE11b93B61f6291d35c5a2beA0A9fF169080160cF,0.002,1962644,
sushiswap_v3,core,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,N/A,,,
fraxswap_v2,dogechain,uniswap_v2,0x67b7DA7c0564c6aC080f0A6D9fB4675e52E6bF1d,0x0f6A5c5F341791e897eB1FB8fE8B4e30EC4F9bDf,,,
balancer,ethereum,balancer,BALANCER_VAULT_ADDRESS,0xBA12222222228d8Ba445958a75a0704d566BF2C8,0,0,
